algorithm,silhouette,davies_bouldin,calinski_harabasz,inertia,n_clusters
kmeans_k=7,0.21054397233083952,1.9733567332191841,911.0387485397151,121001.37261036481,7
dbscan,0.2491495561514581,1.306195369987467,369.56428597581515,,56
agglomerative_k=5,0.22926526147059303,1.9143947599745104,293.02949872154664,,5
gmm_k=6,0.26860976423004074,1.7548213107813,1056.5613706831944,,6
