model,split,accuracy,precision,recall,f1,cv_f1_mean,cv_f1_std
LogisticRegression,validation,0.9242315939957112,0.4598337950138504,0.907103825136612,0.6102941176470589,0.9167722776770347,0.003609111698074722
LogisticRegression,test,0.9205032885330283,0.4458874458874459,0.9035087719298246,0.5971014492753624,0.9167722776770347,0.003609111698074722
RandomForestClassifier,validation,0.9656897784131523,0.7253886010362695,0.7650273224043715,0.7446808510638298,0.9880490155842306,0.0006696233310024357
RandomForestClassifier,test,0.9633971975979411,0.7155172413793104,0.7280701754385965,0.7217391304347827,0.9880490155842306,0.0006696233310024357
SVC,validation,0.9303073624017155,0.48255813953488375,0.907103825136612,0.6299810246679317,0.9331348143588026,0.0019906675308474587
SVC,test,0.9287961109522448,0.4760820045558087,0.9166666666666666,0.6266866566716641,0.9331348143588026,0.0019906675308474587
