model,split,r2,mae,rmse,cv_r2_mean,cv_r2_std
LinearRegression,validation,0.45895466909685023,5.391199349064491,7.186128172482087,0.5009532172658874,0.02749859441312377
LinearRegression,test,0.4369791330971319,5.332308269267465,7.226457609531639,0.5009532172658874,0.02749859441312377
RandomForest,validation,0.5764641612271493,4.6545858829474325,6.358039401750506,0.6062487583721476,0.0191619156617843
RandomForest,test,0.5525461977315274,4.629490645336877,6.442246160026666,0.6062487583721476,0.0191619156617843
GradientBoosting,validation,0.5935491593772564,4.584450289156916,6.228481019672698,0.6247269116851452,0.015728932522690392
GradientBoosting,test,0.5696295636144342,4.503759384745881,6.318069939506663,0.6247269116851452,0.015728932522690392
