model,accuracy,precision,recall,f1_score,roc_auc,cv_mean,cv_std,cv_scores,best_params,train_accuracy
GradientBoosting,0.9633400057191879,0.9613658297505938,0.9633400057191879,0.962100500986383,0.9717559552299373,0.9668497854828253,0.00263772271291758,0.9668 ± 0.0026,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.982
RandomForest,0.9601944523877609,0.9616590135666476,0.9601944523877609,0.9608619971035233,0.9625258203698157,0.963686024995359,0.007038587933265964,0.9637 ± 0.0070,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.994
AdaBoost,0.9615670574778381,0.9595452130284584,0.9615670574778381,0.9603322806517595,0.9696854739336649,0.9642684719451539,0.004683114640880626,0.9643 ± 0.0047,"{'learning_rate': 1.0, 'n_estimators': 100}",0.97
ExtraTrees,0.9598513011152416,0.9583899598505298,0.9598513011152416,0.9590303062734923,0.9583804966887346,0.9634737298587565,0.0006388966124690499,0.9635 ± 0.0006,"{'max_depth': 20, 'n_estimators': 100}",1.0
KNN,0.9544752645124392,0.9501978009051304,0.9544752645124392,0.9515449619900015,0.848615441611457,0.9498864266000154,0.0023651558487923774,0.9499 ± 0.0024,"{'n_neighbors': 3, 'weights': 'distance'}",1.0
LogisticRegression,0.918558764655419,0.9556888892870152,0.918558764655419,0.9309733570079739,0.9639907100091997,0.9421998617781471,0.002013834576139007,0.9422 ± 0.0020,"{'C': 10, 'solver': 'liblinear'}",0.9333333333333333
SVC,0.917529310837861,0.9556555250400411,0.917529310837861,0.930258217598627,0.9640096262307265,0.9399905414170874,0.006045556099456951,0.9400 ± 0.0060,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9333333333333333
