column,missing_values
customer_id,0
customer_city,0
customer_state,0
customer_zip_code_prefix,0
delivery_delay,1889
delivery_time,1889
order_year_month,0
order_year,0
order_month,0
order_status,0
order_purchase_timestamp,0
