pca_1,pca_2,kmeans_label
-0.0712063407517014,0.005655927095394829,4
0.4520254020114909,1.3031937358292294,2
2.852318946875984,3.1747926416956322,3
0.8454581771829577,0.03422057317928916,5
0.6601144235571368,0.7662618144303326,2
0.6362596270671549,1.1382434774873569,2
2.912282773305283,1.3718877650444536,3
-0.31542168228825074,-0.6453660098851135,4
0.4746820285796808,0.8557806852354561,4
-0.5877696191818056,-0.7925594096203318,0
-0.5373224574883148,-2.85180144645267,0
0.8522765926559492,1.1348701204957723,4
1.132476996809803,1.0335303562775622,2
-0.9050943405374705,-0.5830247680974595,4
0.5088885209609275,-0.9382606606607737,5
-0.079702441382344,-1.2155147833155673,5
0.5062223778078178,0.6014958636058811,4
0.5371181135389876,0.775270783064921,4
-0.2259895359191606,0.11999903061534013,2
-0.11850261528774703,-0.08591127323734918,4
1.2544838911941785,0.1608899341130388,4
-1.3804442148502833,-1.3023623073403248,5
0.3477237145714287,1.0866951986557687,4
-1.6971062589544552,0.2117621255320663,5
-0.904790828787423,-1.6808274037650994,5
-1.4960672997354747,1.9421345206632565,4
2.8337249694097597,-0.08078060023096692,3
-1.7169432488672531,1.5310054510429811,4
-0.365821472358527,-1.60472485613034,5
-0.302676057721039,-0.6666710389446918,4
2.9693698707939635,-0.8707130929872912,5
0.03775560415579177,-2.5277822616367502,5
-1.9406486133718663,-3.2964497264735604,6
-1.3844438918733313,0.11952414304965252,4
-0.9080088256106622,-0.24675987112065206,4
-1.5254827842609178,1.0678035570936588,2
-0.300744679656609,-1.6346668524858436,5
1.0350001786889178,0.42637399746593263,4
-0.5726016485179082,-2.5613675132380176,0
-1.7290655422505972,-0.05875019039523356,5
-0.9003132308775045,-1.3755198479256543,5
-1.6520087383085467,0.7691715616706265,4
-2.0582075192427602,1.9071130794447588,1
-0.5282498264134023,-1.9767875342204673,0
-0.6338156878075255,-2.3996568080891962,0
0.009392368321226044,1.3862304412363908,5
-1.8941329512993592,3.208851267652915,4
1.2407724259288448,-0.7627782143383457,5
-0.3193909745654895,-1.4898523186546342,5
0.8711325192951981,-0.442502118256605,5
-0.21507277815534484,-0.11133002834256532,2
-0.16733579988480932,-0.3435403174045473,2
0.5479896169855272,0.2167184869294373,4
0.8911235786297269,-0.9930527432002463,5
0.983029224399129,0.7254004655757484,2
0.08438820892977814,-1.9450029179616786,4
0.3172068975801352,1.1745399182054874,4
