count,unique,top,freq,mean,std,min,25%,50%,75%,max
89316,89316,hCT0x9JiGXBQ,1,,,,,,,
89316,3735,sao paulo,14352,,,,,,,
89316,27,SP,37879,,,,,,,
89316.0,,,,40499.471080209594,31194.386361248085,1003.0,9785.0,35480.0,70040.0,99990.0
87427.0,,,,-12.13244192297574,10.041469987901282,-147.0,-17.0,-13.0,-7.0,188.0
87427.0,,,,11.969128530087959,9.2776778193844,0.0,6.0,10.0,15.0,209.0
89316,24,2017-11,6840,,,,,,,
89316.0,,,,2017.5330064042278,0.5054447666566446,2016.0,2017.0,2018.0,2018.0,2018.0
89316.0,,,,6.0278337587890185,3.2334200743676225,1.0,3.0,6.0,8.0,12.0
89316,7,delivered,87428,,,,,,,
89316,72775,2017-08-08 20:26:31,87,,,,,,,
