delivery_time,customer_zip_code_prefix,order_month,order_year,customer_state
20.0,38415,4,2018,RJ
17.0,15041,8,2018,PA
15.0,3912,12,2017,MG
10.0,23028,8,2018,RJ
32.0,1134,7,2017,PB
10.0,26063,7,2017,MG
9.0,76842,1,2017,RJ
16.0,29052,2,2018,PB
13.0,31540,3,2018,GO
6.0,65390,7,2017,SP
4.0,28680,4,2018,SP
12.0,21535,5,2017,RJ
18.0,88704,2,2018,RJ
2.0,12214,6,2018,SP
3.0,18602,7,2017,SP
7.0,6093,7,2017,ES
19.0,88115,6,2018,SC
9.0,12400,3,2017,SP
11.0,86805,6,2018,RS
36.0,29023,2,2018,SP
8.0,56400,8,2017,MG
8.0,4963,11,2017,MG
20.0,13569,5,2017,SC
7.0,4633,8,2017,SP
4.0,23826,8,2017,SP
5.0,20760,9,2017,RJ
3.0,58103,2,2018,SP
3.0,12325,2,2018,SP
12.0,18108,8,2017,MG
12.0,91751,6,2018,SC
13.0,6028,1,2018,SP
23.0,26453,12,2017,PA
19.0,7749,1,2018,PE
7.0,86730,7,2018,ES
14.0,11725,6,2018,PR
11.0,79601,9,2017,RJ
3.0,45991,5,2018,SP
14.0,3966,8,2017,SP
9.0,70324,7,2018,MG
18.0,21630,5,2018,RJ
10.0,28635,2,2018,SP
8.0,78040,8,2018,PR
27.0,89095,6,2017,SE
5.0,59518,7,2018,RJ
17.0,89027,7,2017,BA
10.0,84196,7,2017,RJ
15.0,8246,3,2017,SP
3.0,66820,7,2018,SP
2.0,95034,11,2017,SP
3.0,24110,12,2017,SP
1.0,18135,3,2018,RJ
13.0,13857,11,2017,SP
2.0,2203,2,2018,SP
16.0,3893,10,2017,RJ
12.0,5867,4,2018,SC
24.0,85660,11,2017,RJ
1.0,36280,5,2018,SP
2.0,4932,4,2018,SP
20.0,18405,7,2018,MG
3.0,2560,8,2018,SP
4.0,6343,8,2018,SP
7.0,6010,6,2018,MG
26.0,48905,10,2017,PA
3.0,55028,6,2018,SP
6.0,37578,2,2018,MG
4.0,62010,4,2018,SP
11.0,72003,7,2017,RJ
16.0,54290,1,2018,BA
2.0,3288,5,2018,SP
8.0,87201,8,2017,PR
10.0,38230,6,2018,SC
8.0,7064,12,2017,SP
4.0,50930,12,2017,SP
7.0,45745,10,2017,SP
12.0,72255,9,2017,BA
9.0,94420,7,2018,SP
8.0,82920,4,2018,MG
11.0,1404,4,2018,PR
17.0,65150,2,2018,MG
9.0,1414,3,2018,SP
10.0,7150,6,2018,BA
48.0,85023,11,2017,SC
8.0,66060,9,2017,SP
5.0,74115,8,2018,MG
24.0,9445,10,2017,MG
3.0,27536,4,2018,SP
12.0,30130,12,2017,MG
25.0,16250,12,2017,CE
15.0,71670,8,2017,SC
25.0,73391,3,2017,SP
26.0,26221,1,2018,RS
21.0,2955,3,2017,PE
8.0,58920,7,2017,MG
5.0,44052,3,2018,SP
24.0,4068,3,2018,RJ
2.0,99074,6,2018,SP
3.0,60732,8,2018,MG
4.0,63430,8,2017,SP
14.0,30492,11,2017,DF
3.0,36880,7,2018,SP
14.0,6785,6,2018,RS
14.0,86020,8,2017,RJ
3.0,21750,1,2018,SP
17.0,11470,8,2017,RS
5.0,17450,8,2018,PR
13.0,37561,3,2018,BA
17.0,4932,10,2017,SP
4.0,26660,4,2018,SP
15.0,79070,10,2017,PR
11.0,4135,1,2017,MG
6.0,11618,2,2018,SP
6.0,17730,1,2018,SP
8.0,12414,5,2018,GO
6.0,89982,5,2018,SP
13.0,89202,8,2017,RS
13.0,86084,3,2017,SP
11.0,23082,9,2017,CE
5.0,65550,4,2018,SP
7.0,11497,8,2017,SP
13.0,41334,10,2017,RJ
6.0,4842,5,2017,PR
3.0,95595,5,2018,MG
12.0,77809,7,2018,SP
5.0,35650,2,2018,SP
34.0,26042,8,2017,SP
6.0,5444,1,2017,SP
13.0,65071,2,2017,SP
4.0,71906,5,2017,SP
34.0,72003,3,2018,RJ
5.0,2559,4,2018,MG
92.0,26051,1,2017,SC
20.0,28664,7,2017,SE
50.0,57975,12,2017,RJ
26.0,64803,12,2017,RS
6.0,75828,6,2018,RS
4.0,17505,4,2018,SP
16.0,7907,4,2018,GO
10.0,97546,5,2017,SP
4.0,9432,7,2018,SP
11.0,2020,6,2018,BA
33.0,55178,9,2017,BA
12.0,75828,7,2018,RS
6.0,29090,4,2018,RJ
9.0,39710,8,2018,SP
19.0,5307,1,2018,MS
16.0,20761,5,2018,SP
3.0,17211,6,2018,SP
17.0,73041,1,2018,MG
8.0,55740,3,2018,SP
9.0,18620,2,2018,SP
14.0,1226,2,2018,SP
12.0,17505,5,2018,SP
18.0,8663,3,2017,CE
10.0,3985,4,2018,SP
23.0,79005,1,2018,RN
2.0,59090,12,2017,SP
8.0,74030,4,2018,SP
11.0,4740,10,2017,MG
10.0,7013,1,2018,MG
6.0,13308,3,2018,PR
13.0,17603,10,2017,BA
8.0,59598,8,2017,SP
3.0,25922,3,2018,MG
13.0,36290,12,2017,SP
24.0,98980,3,2018,SC
8.0,4941,5,2017,MS
19.0,40170,2,2017,AC
6.0,28070,4,2018,RS
12.0,21725,8,2017,PB
12.0,31814,2,2018,SP
8.0,4285,6,2017,SP
10.0,58071,3,2018,SP
5.0,14670,4,2018,SP
35.0,42717,3,2018,RS
25.0,64224,2,2017,SE
10.0,59594,11,2017,SP
12.0,13478,3,2018,MG
6.0,13930,7,2018,RJ
6.0,28880,3,2018,SC
13.0,64120,11,2017,RJ
13.0,3401,6,2018,RJ
8.0,3806,6,2018,PE
7.0,30390,6,2017,SP
7.0,4161,9,2017,MG
9.0,41217,6,2018,RS
15.0,7906,4,2018,PI
11.0,44620,6,2017,SP
194.0,7906,3,2017,PI
9.0,55590,1,2018,RJ
4.0,83075,4,2018,PR
17.0,12610,4,2017,MT
16.0,53700,11,2017,SP
32.0,9422,3,2018,BA
2.0,4409,8,2017,SP
22.0,9862,11,2017,BA
42.0,9682,6,2018,PI
8.0,13636,8,2017,MG
7.0,99705,12,2017,SP
17.0,92200,9,2017,RJ
4.0,79300,5,2018,SP
13.0,47801,1,2017,SP
14.0,25745,7,2017,SP
3.0,42801,11,2017,SP
4.0,83250,7,2018,SP
32.0,3401,2,2018,RJ
10.0,70862,7,2018,SP
9.0,1205,8,2017,PR
7.0,1209,8,2018,PR
19.0,26296,8,2017,RS
7.0,61906,4,2018,SP
3.0,12411,8,2017,MG
6.0,4011,8,2017,SP
4.0,11674,7,2018,SP
15.0,75534,9,2017,GO
5.0,9910,6,2018,PR
17.0,90430,2,2018,SP
6.0,6283,7,2017,RS
23.0,58421,11,2017,RS
5.0,57970,5,2018,SP
17.0,23090,1,2018,RS
4.0,97576,9,2017,SP
13.0,15900,6,2017,SP
9.0,26433,5,2017,RJ
9.0,65046,11,2017,PE
6.0,26521,7,2018,SP
7.0,79040,1,2018,SP
6.0,42843,3,2017,PR
14.0,58433,2,2018,GO
4.0,68907,5,2018,SP
12.0,85835,6,2018,MG
10.0,9240,1,2018,RJ
18.0,69043,2,2018,RS
6.0,64880,6,2017,SP
9.0,72546,5,2018,PE
10.0,64083,4,2017,MG
3.0,88790,8,2018,MG
8.0,67118,12,2017,SP
11.0,25042,5,2018,SP
7.0,8745,7,2017,SP
10.0,26143,6,2018,SP
6.0,52011,6,2018,SP
3.0,9412,2,2018,SP
15.0,64080,2,2018,RJ
7.0,62375,5,2017,SP
5.0,6429,8,2018,RS
12.0,13322,2,2017,MG
7.0,8656,8,2018,PR
18.0,64845,11,2017,SP
20.0,14077,1,2018,MA
5.0,15380,3,2017,SP
11.0,37997,5,2017,MG
8.0,88066,5,2017,SP
19.0,7032,3,2018,SP
